Designator,Footprint,Quantity,Value,LCSC Part #
3V3LED1,0402,1,BLUE_LED,
"BOOTJUMPER1, ENJUMPER1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
"C1, C16, C20, C24, C26, C28",0402,6,10uF,
"C10, C11, C27, C29, C3, C5, C6, C8",0402,8,0.1uF,
"C12, R5",0402,2,DNP,
"C13, C14",0402,2,11pF,
C15,0402,1,100nF,
C17,0402,1,47nF,
"C2, C22, C4, C7",0402,4,1uF,
C21,0603,1,10uF,
C23,0603,1,22uF,
C25,0402,1,4.7uF,
C9,0402,1,10nF,
D1,SOT-23,1,SM712_SOT23,
D2,SOT-143,1,SP0503BAHT,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
IC1,SON127P800X600X95-8N,1,XTSD08GLGEAG,
J1,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,RBUS,
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,TermJP,
L1,0402,1,2.0nH,
L2,0402,1,20nH,
L3,0805,1,1uH,
"R1, R14, R17, R3",0402,4,10K,
"R10, R9",0603,2,60,
"R11, R12",0402,2,5.1k,
"R13, R2, R4",0402,3,470,
R15,0402,1,14k,
R16,0402,1,56k,
R6,0402,1,499,
R8,0603,1,0,
"TP1, TP10, TP11, TP12, TP13, TP2, TP3, TP9",TestPoint_Pad_D1.0mm,8,TestPoint,
"TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.5mm,5,TestPoint,
TXLED1,0402,1,GREEN_LED,
U1,QFN40P700X700X90-57N,1,ESP32-S3,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U3,SOTFL50P160X60-8N,1,LM66200DRLR,
U4,CONV_MAX77827AEFD+T,1,MAX77827AEFD+T,
U5,SOIC127P599X175-9N,1,SC4215,
USBLED1,0402,1,USB_LED,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,40MHz±10ppm,
